"created_at","id","like_count","text","view_count"
"1771894513","3839251905432587201","74","And being young men, there’s a good chance you may not have any clue about the terrible optics of you all yukin’ it up with an Olympic-level predator like Donald Trump…

https://johnpavlovitz.substack.com/p/hey-team-usa-mens-hockey-congratulations","0"
"1771893294","3839241675709656814","11","""One tablecloth, thousands of hearts beating as one 💚
This is Ramadan's real magic: unity in breaking the fast, prayers rising together, blessings pouring down 🍽️🌅
Alhamdulillah for being part of this Ummah 🤲
May Allah unite us all in Jannah too. Ameen.
#IftarTogether #RamadanVibes #UmmahUnited #BlessedMonth #RamadanKareem""","0"
"1771889989","3839213949899852072","48","To all reverts and converts, becoming Muslim and wearing hijab may change how others treat you, but that doesn’t define you. Stay strong, stay true, and trust Allah. Keep going, be proud of your journey, and remember you are never alone. 🤍","0"
"1771888454","3839201079083471581","211","May our joy forever agitate their demons","0"
"1771887598","3839193897520476514","713","BREAKING EXCLUSIVE: Tape of Epstein victim may have been found showing Donald Trump doing things that could force him to resign from the presidency.","0"
"1771887345","3839191774238187330","41","Monday work day is done. May do B-Bops for dinner.","0"
"1771850148","3838879738992159776","501","Hey, Old Man, I'm Elena Ewart and this is my little girl.
We love you so much! 💕💋
Can you tell me where you're from? Please, handsome old man.","0"
"1771886412","3839183945150430182","32","I live in California in Orange County city of Westminster. May I ask where you are from?","0"
"1771886194","3839182118119896135","31","5 BGV AUDITION TIPS from a Vocal Contractor & Director:

1. BE A CHAMELEON.
The artist should hear THEIR sound in yours and that it FITS and/or enhances what has already been created. This may mean manipulating YOUR unique sound to better match theirs. Do not attempt to reinvent their sound, but mimic and elevate. It’s not about you, but how well you fit into the unit.","0"
"1771885227","3839173894012558950","95","An order from U.S. District Judge Aileen Cannon that a report from special counsel Jack Smith about his investigation of Donald Trump should be kept under wraps may not be as ironclad as she asserted on Monday.","0"
"1771898980","3839289376430919501","0","MASAKIT SA MASAKIT 
NGiN SO NAGADIL KA NAG PAGOD KA 
PERO WALA KANA MAGAWA DAHIL NASA PUNTO NA HINDI TALGA PWEDI YONG INAKALA MO NA MERON GIGISING SAYO  YONG PAG GISING MULANG ANG KULANG DAHIL NAKA PREPARE NA ANG LAHAT🥹🥹🥹 PERO SISIKAPIN PARIN KAHIT PAPANU🤲🤲🤲","0"
"1771898682","3839286872749774491","0","Pero feeling ko mas masakit yong namatay ang anak mo dahil sa bisyo. Kasi feeling mo guilty ka and you always question yourself kung nagiging mabuting ina ka ba, that will hunt you till the rest of your life. Then to ease that guilt you want to find someone na pagbuntunan ng sisi.

#followers 
#highlights","0"
"1771898078","3839281812120753978","1","Let's forgot each other, past is past. I don't want anyone anymore. Don't blame me you started it. You unfriended me in your account I did the same but worst. I'll hate you‚ I've never regretted loving you but I regret not giving up easily‚ kasi mas masakit ang dali ng lahat sa'yo. I will hate you as long as I'm alive.","0"
"1771897214","3839274559798866661","2","Ang hirap pala kapag emotionally intelligent ka, noh? Sanay kang intindihin lahat, bawat side, bawat dahilan, bawat pinanggagalingan ng tao. Kahit masakit, pinipili mong umunawa.

Pero ang lungkot lang minsan… konti lang yung kayang gawin ‘yon pabalik sayo.

Ikaw lagi yung may empathy. Ikaw lagi yung mas malawak mag-isip. Pero sino naman yung uunawa sa’yo the same way?","0"
"1771874680","3839085533591648223","9","How earth signs handle heartbreaks:

Taurus: di ako papayag na ganito lang mapupunta tong lahat! Ayusin natin to please?

Virgo: di ko parin gets bakit nagkaganito. 

Capricorns: masakit man,pero,sige lang. Marami pa akong kailangang bayarang bills.","0"
"1771897203","3839274463935056788","0","Capricorns accept it, block you, and move on. Masakit man pero ayaw din namin sa hindi kami ang pinipili and yes, there is more to life at marami pang bayarin na bills. 🥲","0"
"1771896948","3839272311913121544","0","“ang bigat-bigat ng pagkawala mo nanay""

nasanay akong nandyan ka
tapos bigla ka na lang nawala😪,ang masakit dun ay di na kita ulit makikita mahahawakan,at makakatabi matulog,wala na kong taga pagtanggol,kanino na lang ako magsusumbong?sobrang hirap hanggang ngayon araw,gabi nangungulila sayo😭","0"
"1771896537","3839268873842506034","1","'MASAKIT MARINIG'

Binatikos ng ina ng dalawang biktima ng extrajudicial killings (EJK) ang sinabi ng lead counsel ni dating Pangulong Rodrigo Duterte na si Atty. Nicholas Kaufman na wala umanong pagpatay sa war on drugs ng nagdaang administrasyon.

Sinabi ito ni Kaufman sa unang araw ng confirmation of charges hearing sa International Criminal Court (ICC) sa The Hague, Netherlands nitong Lunes, Feb. 23.
#everyoneシ゚ #followersシ゚","0"
"1771895754","3839262317230540444","1","Pagaling Ka Nak Kaaga Aga Ganyan ka na Naman . Subrang Nahihilo at Masakit Ang Ulo at dibdib","0"
"1771873731","3839077569497569972","41","Filipinos, are we still staying out of the sun so we don’t get dark(er)? I hope not. 

As an Ilokano, I’m not even in the sun like that. I’m just dark. I love it. Took me awhile to embrace my skin tone. No amount of Eskinol can whiten this mug. By the way, are whitening creams illegal yet?","0"
"1771898736","3839287330650367422","0","Darker? Wala yan sa akin. Masakit ang direct na maarawan. Rider ako at yung maarawan ka ng matagal, at the end of the day pakiramdam ko magkakasakit ako sa init.

The worse na nangyari sa akin was severe dehydration. Buti nakaabot pa ako bahay BUT hilo, fever, and diarrhea nangyari dahil dehydrated nga. Muscle and joint pains din.

This was during days that are 58°C.","0"
"1771850303","3838881046280662768","31","I rememeber when I was already at the OR, abt to deliver Marcus via emegency CS, i calmly asked the anesthesiologist “Doc, masakit po ba yan sa likod?”

She calmly said “Naku hindi, masakit pa yang swero mo, parang kagat lang ng langgam..”

Ako, with a relief on my face “Hay buti naman..”

ME AFTER NG UNANG TUSOK SA LIKOD “TANGINA HINDI NAMAN PO LANGGAM YAN, DINOSAUR PO..”

And yes, I was already crying at that time.

Rawr.🦖","0"
"1771896481","3839268408291112665","0","I managed  to stay still na tinutusukan ako sa likod habang nagsesevere contraction salamat sa male nurse na hinawakan akong mabuti and inayos ang position ko. I keep reminding myself din na mas mapapatagal at mas masakit kung gagalaw ako.","0"
"1771890972","3839222197404196182","13","Pansin ko lang ah wag ikasasama ng loob bakit mga gurangsky ang bashers ni Alex medyo puti na buhok na naging frustrated tennis athlete kuno 😆✌","0"
"1771895010","3839256069478101738","4","Parang mga walang magawa sa bahay, masakit na ang tuhod para tumayo at maglakad, walang makausap siguro at sawi sa pagiging athlete. Amoy yosi. Sorry alam ko hindi maganda magjudge pero ang lupit nila magjudge kay Alex. Sabi pa nung isa ""I hate losers."" Gusto ko sabihin, kausap nyo ba sarili nyo?😂✌️","0"
"1771893905","3839246750893181846","0","Pauwi na ako Masakit ang puso ko para sa 'yo, Mama. Uuwi na ako etong araw, pupunta ako para makasama ka ulit. Sumalangit nawa 🙏🙏🥹🥹😭","0"
"1771868913","3839037155424040151","112","Malungkot Mag-Isa

Pababa ng hagdanan dala ang cp niya, na out balance at napaupo sa sahig ng bahay. Yung cp na gamit niya kaya niyang i operate at nakatawag sa number ng isang maintenance na inaanak niya, at buti on duty ngayon si Kuya.

Pagdating namin ng bahay, si Nanay walang kasama. 78 yrs old living alone. 

Me: Nay, anong masakit?

Nanay: Yung paa ko masakit Doc. Pero mas masakit pala maging mag isa sa buhay kahit may mga anak at apo ako. 💔

Huwag niyo sana gawin ‘to sa magulang niyo. 🥹","0"
"1771893894","3839246707482412478","7","As I stepped outside the house, hindi lang case details ang dala ko. Bitbit ko din ang napakaraming realizations.

Na minsan, ang pinaka malalim na sugat ay hindi makikita sa X-Ray o CT-Scan.
Minsan ang pinaka masakit, ay yung uuwi ka sa bahay na dati puno ng tawanan at kulitan, tapos ngayon sariling yabag na lang ng paa ang kasama mo. 😭😭😭","0"
"1771893870","3839246504745832268","3","Miss you ma!

Naalala ko nun bigla may tumawag sakin habang umaahon ako sa kennon road ng naka bike ang sabi eh wala ka na daw 😭 hindi naman ako makauwi nun dahil nasa kalagitnaan kami ng ahon. 

Umiiyak ako nun habang nag bike paakyat kahit masakit na binti, paa, katawan lalo na nalaman ko wala ka na daw 😭😭😭","0"
"1771892642","3839236209777855573","0","Ang mahirap sa mga ingit na tao kz Ika  asenso mu Ika sakit nila Yan ,masakit ba sa mata mga antekols ?","0"
"1771891798","3839229121746021482","0","Early morning ash fall of Mt. Mayon🥲
Masakit na sa lalamunan😓
#ilonggonguragon #supportmosupportko #ashfall #MayonVolcano","0"
"1771891751","3839228736944388749","1","Masakit  dry skin ganyan  ang nang yayari sa kahuhugas ka ta trabaho  para kumita ng pera  kala nyo masaya lagi  sabi ng iba abroad  msarap buhay  at madami pera mayaman  na, isang paniniwala ng iba na Hindi naranasan ang  mag abroad .
#buhayofwabroad 
#nanaylife 
#Hand
#SipagAtTiyaga","0"
"1771891345","3839225326311914740","0","Training muna ng Basic Life support kahit masakit ang likod ko be hahaha. 
 
Hindi pa nag sisimula pagod na ako hahaha","0"
"1771899189","3839291127888048129","0","Putchang lalamunan to!","0"
"1771892136","3839231962624713481","0","Sakit ng lalamunan koooo!! 😩","0"
"1771889142","3839206848012568642","0","Eto n nga po sipon namn Makati lalamunan ubo kasunod...haist Lord huwag namn po....","0"
"1771888902","3839204833606096541","0","Posting lang po muna tayo ngaun grabe sakit lalamunan q😢 wla munang live😊","0"
"1771880493","3839134290488289774","0","Grabe kasakit ng lalamunan ko uy huhu magcry na ako😭😭😭","0"
"1771879491","3839125891243132578","0","PARALASTAS NA MUNA TAYO
WAS BOUGHT TO YOU BY PANA NATURAL--- PARA SA UBO-MATINDING KAPIT NA PLEMA RAMDAN NA GASGAS NA ANG LALAMUNAN. MABIBILI SA MGA BOTICA OVER THE COUNTER DITO SA RIYADH KSA.","0"
"1771874055","3839080286676107010","0","Hays kakapagod
Kati netong lalamunan ko
Sana mawala na to","0"
"1771871659","3839060192294774002","1","Sobrang sakit ng lalamunan ko!!!!!","0"
"1771871404","3839058050599324663","0","Sakit ng lalamunan huhu","0"
"1771891798","3839229121746021482","0","Early morning ash fall of Mt. Mayon🥲
Masakit na sa lalamunan😓
#ilonggonguragon #supportmosupportko #ashfall #MayonVolcano","0"
"1771844959","3838836214959508625","63","Yung bago ka lang sa team nyo tapos tinanong ka ng “ano pong tipo mo sa lalake?” 🙄😒

Gusto ko lang mag trabaho!!!!!!!!","0"
"1771888327","3839200010802772713","0","Ang hanap ng mga kateam mo sayo ay hindi trabaho kundi kalandian. Tara, pahiran natin ang makating parte sa katawan nila nang matigil ang pagtatanong na yan. 🤣🤣🤣","0"
"1771880675","3839135815805788199","0","Alhamdulillah pang himagas at ndh lang un sunnah rin itong kainin sa suhur para ndh gutumin o matuyuan ang lalamunan 

@highlight #sunnah #Kurmah #pangsahur","0"
"1771851394","3838890196030482497","360","""cs po ako eh""
""ay mas maganda normal ksi iire ka, mas ramdam mo pagiging nanay""

ay 'pag cs ba ako, tatay ako??? 🙄","0"
"1771877465","3839108894313128523","2","Ako na naglabor muna bago na-emergency CS 🥲 Pag ako talaga nakarinig ng ganyan, pipitikin ko talaga sa lalamunan.","0"
"1771876211","3839098376206656144","0","Sakit sa lalamunan mygox","0"
"1771869989","3839046182732265994","0","Tulog sipon+ sakit lalamunan 
Ano Nami ni man Red horse o Gin 🤣🤣🤣🤣

Di mag ayo sa bulong abi","0"
"1771868690","3839035281509611639","0","sakit sa lalamunan","0"
"1771866247","3839014790422019363","1","Nagising ako sa sobrang takot ko sa panaginip ko parang totoo, sa panaginip ko bago daw ako matulog biglang may dumagan daw sakin tapos pilit ako pinapanganga ang creepy ng boses nya natawa sya parang 😈 tapos nilalabanan ko gusto ko mag dasal pero parang pinipigilan nya nanlalaban ako sa panaginip ko pag gising ko nakatihaya ako tapos sobrang dry ng lalamunan ko.","0"
"1771860914","3838970055032442030","0","Garamdam na ang kati ng lalamunan? Don't panic and DON'T take antibiotics agad! 🙅‍♀️ Just spray this instead.

🌿 Made with natural ingredients
🍬 No bitter medicine taste
💯 Subok na effective!

Prevention is always better than cure. Stock up na bago pa mawalan ng boses! 📣￼","0"
"1771860026","3838962608733371799","4","sagad ko ba sa lalamunan mo💦🤣","0"
"1771827687","3838691325831806829","224","Ngayon ko lang nakita na ang taas pala ng sugar content ng yakult. Parang isang kutsara din yon ng asukal sa napakaliit na yakult. Healthy ba talaga to? Haha","0"
"1771858931","3838953420666103110","0","May acid reflux ako. Parehos sa red and blue yakult humahapdi lalamunan ko kaya nag plain greek yogurt nalang me. I think mas good ang greek yogurt na alternative","0"
"1771856597","3838933837233598471","0","OMG, girl! I have to share this life-saver kasi hindi ko talaga keri ang hapdi ng lalamunan lately! 😭 Alam niyo yung feeling na parang may tinik or laging tuyo ang throat? I tried this Betadine Sore Throat Spray and swear, it’s a total game changer! One spray pa lang, feel mo agad yung relief, as in instant! ✨ No more ""paos"" moments or yung hirap lumunok pag kumakain. Perfect siya for me lalo na’t mahilig ako makipag-chikahan at uminom ng cold drinks. Super compact pa, so kasyang-kasya sa bag!","0"
"1771855644","3838925848166616209","2","sakit ng lalamunan ko","0"
"1771855039","3838920772237111852","0","Sanay maging tahimik ang aking lalamunan ngayong gabi ilang gabi na tayong bagabang sa puyat at kakaubo🙃","0"
"1771858352","3838948564928703106","0","Sobrang sakit na nga ng ulo, nahihirapan pang huminga, sakit pa ng puso??? Lord, isa isa lang naman, anak mo rin po ako. 😭😭😭","0"
"1771853735","3838909832586506518","12","Salbutamol lang katapat kapag nahihirapan kang huminga at napatunayan mo yong hinala mo.","0"
"1771852279","3838897620886084351","0","nahihirapan ako huminga tangina  hahahahahaha mamatay nslanh","0"
"1771796709","3838431463642176440","1","Nahihirapan talaga huminga dahil sa parang may nakabara sa lalamunan ko.🥲","0"
"1771663584","3837314728851492430","162","Required ba talaga na kapag broken, kailangan nahihirapan ka lagi huminga? Kailangan ba talaga mawawalan ka ng gana kumain at tatamadin ka sa lahat ng bagay? Patayan talaga sa ganito nuh","0"
"1771651253","3837211268323957056","1","Ung bang nahihirapan kana huminga dahil patay gutom ka 😜😅","0"
"1771818261","3838612257119360648","255","Dito sa Pinas, ubos talaga isang araw mo sa pag pila sa Doctor","0"
"1771846114","3838845900253584476","0","Sa US of A, a relative of mine complained na nahihirapan syang huminga. Pinunta sa Urgent Care ng bandang 9am pero past 12noon na sya nacheck ng doctor. Sabi sa kanya hindi equipped ang facility to check on her kaya sinabing magpunta sa Emergency Room ng hospital. Andun sila ng 1pm, na-triage at nag-antay hanggang 6pm para matignan. After, sinabihang antayin consultation with the doctor. Doctor came at 10pm and pinauwi ng 1am. She's 74y/o and hindi sya nakakain from 9am to 1am of next day.","0"
"1771845524","3838840956578315855","9","I’m not tall.  And most of the time lagi ako nakatingkayad sa photos namin kasi feel ko nahihirapan sya kumuha nang magandang angle. 

So during our Anniversary, he bought this beautiful light pink dress and unfortunately I was repeatedly tripping over it. So to prevent any accident, he’s always at my side to hold my dress.  I apologized but he said, “you’re my favorite small girl, don’t be sorry”. 

It made my heart so happy. I’m so blessed to have someone who treats me like a Queen 🥹🤍","0"
"1771789405","3838370196739358919","0","Maraming tao ang nahihirapan 👍,isa na ang pamilya ko , masakit tingnan ang anak pag nahihirapang huminga😭😭 , parang maka isip ka na ayaw kuna , ang daming tanong sa isipan ko, (but naman lord , my Congenital heart disease , at my syndrome😢😢 pa )kawawa naman ang anak ko, bahala wla kaming pera basta wla lang sakit ang anak ko .","0"
"1771661780","3837299596574483101","0","May kaparehas bako dito na nahihirapan huminga pag nakakakita ng mga powderized, pulbos, or yung mga pinong pino like harina, alikabok, o ano basta mga ganun ba. Feeling ko ako lang 😪.","0"
"1771589018","3836689226976579408","7","Super guilty parin ako sa nangyari 💔

2 weeks ago na confine ang baby boy ko 9 months old due to GERD. Day 2 namn sa public hospital umuubo sya kaya nalipat kami sa Respi ward for patients na may ubo. 

Day 3 namn may bagong patient na 5 years old boy. His name is Javier and he looks not well talaga. Every 15 to 20 minutes he looks tense na parang he's running out of air(nahihirapan huminga)

Sabi ng watcher nya na ganun talaga kasi may tonsillitis yung bata.","0"
"1771488038","3835842146649439686","63","Alam na mismo ng katawan mo kung ano yung totoo bago pa man mangyari ang katotohanan. 

Yung panginginig ng buong katawan mo. Yung bilis ng tibok ng puso mo. Yung bigat sa dibdib mo na nahihirapan kang huminga. Lahat ng yan ay signs na hindi ka na safe sa nangyayari. Makinig ka sa katotohanan na sinasabi ng katawan mo.

Your body knew before your mind allowed it.","0"
