"created_at","id","text"
"Sun Feb 22 14:21:24 +0000 2026","tweet-2025576663275204724","nasa v3t siya today naka-confine kasi need daw imonitor. lumalaki raw kasi heart kasi ayun nahihirapan huminga kasi mos na ung sipon niya :(( tinatry ko siyang i homeremedy kaso wala talaga hnd nagaling, mawawala tapos babalik ganun. tapos watery poops niya. sabi ni doc parang nagistart na magkaproblem ta ang liver and k1dney niya kasi para na rin siyang naninilaw huhu pls pray mo my cleo🥺🙏"
"Sun Feb 22 14:19:57 +0000 2026","tweet-2025576296001245331","@nikraniac 'antagal q ring ship c'la as a dedicated fan... tsk! Y am I crying?... skit na nang fce shaming, esp na 'di xa ngsslita...
Feel q na rin na pagod na pagod naxa. Parang totoo na 'yong pgkksabi ña sa TT n nkita q...
May DCY &amp; BDV be blessed with their hearts' purest desires.🍀🍒"
"Sun Feb 22 14:16:14 +0000 2026","tweet-2025575361904603579","@alwayswithPS pray na gumaling sa lagnat nung riser con! 🫡"
"Sun Feb 22 14:12:14 +0000 2026","tweet-2025574356114714829","shet sana mawala na lagnat ko awa na lang talaga at month end closing na uli this coming week 😭"
"Sun Feb 22 14:07:52 +0000 2026","tweet-2025573257353847122","pagod na pagod na pagod na pagod na pagod na ako"
"Sun Feb 22 14:05:55 +0000 2026","tweet-2025572764950954406","jusko pagod na pagod kana pero need mo pa rin mag work 😭"
"Sun Feb 22 13:53:13 +0000 2026","tweet-2025569570501910558","Please baka naman makakita na kami ng araw bukas 😭 its been a week namaulan. Yung lagnat ko ubo’t sipon ayaw kong hanggang fanmeet to 😭. No work outside the office sana bukas🤞. https://t.co/aXQo6JNwFG"
"Sun Feb 22 13:50:01 +0000 2026","tweet-2025568765115814222","pagod na pagod na ako maging mabait, pagod na akong patunayan sarili ko sayo https://t.co/E7ZdFwE7Ql"
"Sun Feb 22 13:44:47 +0000 2026","tweet-2025567446787297381","PAGOD NA PAGOD NA PAGOD NA PAGOD NA ’KO!!!!!! ANO BA BIGYAN NIYO NA KASI AKUH DAY 1 TICKET NG ROUND FESTIVAL 😭😭😭🙏🏻🙏🏻🙏🏻🙏🏻"
"Sun Feb 22 13:39:04 +0000 2026","tweet-2025566007419691427","sleepable, baka mawawalan ng lagnat"
"Sun Feb 22 13:32:24 +0000 2026","tweet-2025564331111600329","pagod na pagod nako sa single life ko😔😔😔😔😔gusto kuna talaga ng bf"
"Sun Feb 22 13:31:15 +0000 2026","tweet-2025564043277434885","wala ngang sipon hindi naman makahinga maayos dahil may kutob na ewan"
"Sun Feb 22 13:27:30 +0000 2026","tweet-2025563100112617762","ewan ko ba pero literal na puro tulog talaga ako pagkatapos ng pb, yung feeling na pagod na pagod kahit wala namang ginagawa 😭"
"Sun Feb 22 13:20:46 +0000 2026","tweet-2025561402933743972","putangina talaga pagod na pagod na'ko kinginang research to"
"Sun Feb 22 13:18:08 +0000 2026","tweet-2025560739734540793","Lagnat gwa ta sini fota"
"Sun Feb 22 13:16:38 +0000 2026","tweet-2025560362679185687","""tingin kasi nila sayo, dika napapagod"" lol hwuahahha, nakakapagod kayo intindihan, sana ma realize ninyo na pagod na pagod na ako, kung ano nalang yung tingin ninyo sakin, then go ahed ayun na isipin ninyo, dahil pagod na ako I explain yung side ko."
"Sun Feb 22 13:14:22 +0000 2026","tweet-2025559793809977455","Hanggang kailan moko titigilan, mamanipulahin, tatakutin, papaiyakin? Pagod na pagod na ko mabuhay sa takot na baka Isang araw ikalat mo mga video ko sa socmed😢"
"Sun Feb 22 13:00:27 +0000 2026","tweet-2025556292593709334","taas ng lagnat ko kainis"
"Sun Feb 22 12:58:46 +0000 2026","tweet-2025555866683122076","pagod na pagod na, partida review pa lang ito😭"
"Sun Feb 22 12:55:26 +0000 2026","tweet-2025555028631810157","alam niyo yung scenes na nag aaway sila mag asawa tas yung isa pagod na pagod na.. hindi na sisigaw, hindi na masyado makikipagtalo.. ayun ganun to pero minwon 🧍‍♀️ https://t.co/EPihf9FW5u"
"Sun Feb 22 12:51:24 +0000 2026","tweet-2025554013245358407","feel kuh gumaling na ang ubo at lagnat nung isa 

ASHRAVE SUN2 REUNITE
#AllOutForAshley"
