created_at,id,text,like_count
2026-05-15T06:26:13.000Z,2055172882788131252,"@sudheep8531 Nothing beats Langra (Malda in Bihar/WB) when it comes to taste. 

Unfortunately, multiple hailstorms this season have badly affected the crop, so supply is likely to stay low. https://t.co/8zypMib5du",0
2026-05-15T06:26:12.000Z,2055172881852575973,"RT @ValerieAnne1970: AMERICA'S KIDS are drowning in CHRONIC DISEASE — and nobody wants to talk about the 800-pound gorilla in the room.

Si…",0
2026-05-15T06:26:12.000Z,2055172881668096201,"RT @adultxmx: Type ""yes"" if you'd travel the world for one taste https://t.co/ypQS44yfYf",0
2026-05-15T06:26:12.000Z,2055172880644608027,@leodey4uu @utdjoseph1 I wanna taste,0
2026-05-15T06:26:12.000Z,2055172880212627523,RT @Praiseinterests: Anyone with good music taste should like Drake though 🤷‍♂️,0
2026-05-15T06:26:12.000Z,2055172879415746695,RT @Wataaarghhh: Writing scripts for porn while I sit down and watch them fuck to my taste is still in my bucket list. And I'm not talking…,0
2026-05-15T06:26:12.000Z,2055172878367391927,RT @sullibible: @ABrandNewDayAFC I think there was a study that showed that ppl infected with covid become more personable and sociable. It…,0
2026-05-15T06:26:12.000Z,2055172878127997307,"RT @AYOKA1996: Most underrated Korean horror gems. 8/10🎬🎥🍿🎥🍿

pure chills❤️🥰🥰🥰 https://t.co/cNfrbpTZ9i",0
2026-05-15T06:26:11.000Z,2055172876001825072,RT @DrNeilStone: The worst part of Covid was that 20 million people died,0
2026-05-15T06:26:11.000Z,2055172874432864464,"RT @scotstradie: He’s never been to Scotland so I
gave him a taste of my tartan dick
@Kinkkoer 🏴󠁧󠁢󠁳󠁣󠁴󠁿😈 https://t.co/ioQfSybTFC",0
2026-05-15T06:26:11.000Z,2055172874047025450,"RT @kendrrw: call me ugly, dry texter, nonchalant, anything… but bad music taste? now you’re lying",0
2026-05-15T06:26:10.000Z,2055172873354879233,"RT @FredGaulois: Plus jamais!
Enorme coup de gueule de cette française sur la période COVID :
Moi, en fait, c'est très simple, plus jamais,…",0
2026-05-15T06:26:10.000Z,2055172872981586154,"Rand Paul- US Senate: 

Today, a CIA whistleblower sat before my committee and confirmed what I've said for years: government officials, including Dr. Fauci, deliberately misled the American people about the origins of COVID-19. This is not a conspiracy theory. This is sworn https://t.co/4ugbOUIO1V",0
2026-05-15T06:26:10.000Z,2055172871614341447,RT @DrNeilStone: The worst part of Covid was that 20 million people died,0
2026-05-15T06:26:10.000Z,2055172870645412039,"RT @thomasjuneau: Trump's performance in China has been a unique, extraordinary and embarrassing combination of weakness, obsequiousness, l…",0
