"created_at","id","text"
"Thu Feb 19 12:19:12 +0000 2026","tweet-2024458745456271724","TAENA PAGOD NA PAGOD NA AKO HSHSHSHAAHAHAHAHAHAHA YUNH LIKOD KOOOO"
"Thu Feb 19 11:57:37 +0000 2026","tweet-2024453315111821753","Parang pagod na pagod ako sa week na ‘to. Buti nalang fri na tom 

ROJA MYSTERY UNFOLDS

#ROJAMastermindRevealed
#DonnyAsLIAM"
"Wed Feb 11 09:39:43 +0000 2026","tweet-2021519508196999497","pagod na pagod na pagod na ako https://t.co/KlrqjC1U64"
"Wed Feb 18 16:23:31 +0000 2026","tweet-2024157842207277224","pagod na pagod na pagod na pagod na ako"
"Wed Feb 18 08:39:11 +0000 2026","tweet-2024040988579070050","Nasa 2nd review na yung FS, irerevise pa dahil lang sa late invoice. Please awa na lang, matapos na sana nang matiwasay ang audit na to. Literal na pagod na pagod na pagod na pagod na pagod na ako. 😭"
"Wed Feb 18 14:32:43 +0000 2026","tweet-2024129958608568640","sana hindi magtuloy ubo’t sipon at lagnat ko plsplsplspls"
"Thu Feb 12 02:36:00 +0000 2026","tweet-2021775264230047896","Huwag sana tumutulo ang sipon ko sa araw ng kasal. Malamig nga ang panahon, allergy naman ang kalaban ko. 

Good morning nga pala."
"Sat Feb 14 02:09:21 +0000 2026","tweet-2022493335416692823","JOB HUNTING IS JUST SO HARD IN THE PHILIPPINES. ENGINEER NYO PAGOD NA PAGOD NA PAGOD NA PAGOD NA"
"Tue Feb 10 06:06:49 +0000 2026","tweet-2021103540610154571","PAHINGA NA MUNA AKO LESS PHONE NA MUNA NADUDUWAL NAKO SA TAAS NG LAGNAT 😭"
"Fri Feb 13 05:45:12 +0000 2026","tweet-2022185264958013851","parang may sipon si Ralph. haha"
"Mon Feb 16 04:29:02 +0000 2026","tweet-2023253260589740109","@snakeybiatch ..razzles hanggang kilig nlng kayo hindi nman nppansin ng ignascia ang ship nyo kc si boy mahina kay az lng lahat nka asa anu ba yan ..Pagod na pagod si az sa pagbbuhat ng ship niya whui"
"Wed Feb 18 05:55:19 +0000 2026","tweet-2023999750819738112","pagod na pagod nako mag work, gusto ko nalang maging full time reviewee pls 😭"
"Tue Feb 10 18:52:46 +0000 2026","tweet-2021296299325391063","@hayleyyyyyyyy__ Hahaha qaqi may pa announcement pa yang
sigbin, ang lala talaga ng sipon sa utak 
Hahahaha tatanda na ng gurranggotins paurong yarn lmao https://t.co/5LxfSkvUOm"
"Mon Feb 16 14:30:59 +0000 2026","tweet-2023404746653171715","WTF Kuya @PBBabscbn 100 laps sacrifice for per plate ang gagawin ng atabs namin na si Miguel? Eh nung PBB Collab S1 na houseguest si Barbie Forteza ay sa 25 laps paikot ng pool per ay duo ay pagod na pagod sila sa 25 laps! Weekly task pero parusa na yn
#PBBCollab20Ultim8Sacrifice"
"Sat Feb 14 11:37:09 +0000 2026","tweet-2022636225530859731","MAS UMINIT PA AKO KAYSA SA LAGNAT KO"
"Mon Feb 16 12:02:58 +0000 2026","tweet-2023367499551850938","@LODSjz pansin ko din baka pagod na pagod lang 🤣"
"Tue Feb 17 02:31:08 +0000 2026","tweet-2023585980813652317","Pagod na pagod na si miguel umigip ng tubig sa pool inutusan pa ni heath 😆
BBS HEAGEL https://t.co/8bMZ8jC9WO"
"Mon Feb 16 16:46:14 +0000 2026","tweet-2023438783342170526","walang mag cancel!! pagod na pagod buong katawan ko sa pag gawa ng freebies at pagiisip ng mga pwede gawin during concert! aayy sizs! 4days nalang! TULOY ANG PINAS! naka ready na kami! 🤣 kailangan matuloy ang majorettes ni sejeong!! 🤣😭
#열번째편지 
#KIMSEJEONG_FANCONCERT"
"Wed Feb 11 14:45:44 +0000 2026","tweet-2021596518977831214","@KapitanTambay Si Robin ay di lang weak in mind.  Weak (lazy)  in bed din  sabi ni Osang. 
Kawawa naman si Mariel. Pagod na pagod bago makakuha ng drip."
"Sun Feb 15 16:08:35 +0000 2026","tweet-2023066920938070288","@Lyn18219691 Ang mag-amang pagod na pagod na sa mga pakulo ni Kuya huhuhuhuhu"
"Wed Feb 18 13:00:34 +0000 2026","tweet-2024106768456954312","story of my life pagod na pagod na akong makakita ng https://t.co/TkhiypBqKq utang na loob bakit ang cu-cute ng mga gawa ng indo artists na hindi mass produced nasan yung filo counterpart at bakit puro low quality slop yung nasa shopee natin😭😭😭"
"Wed Feb 11 10:32:21 +0000 2026","tweet-2021532752928178654","Feeling ko pagod na pagod na sina Xyriel Manabat at Alexa Ilacad kakabuhat ng mga hamonado"
"Fri Feb 13 11:33:48 +0000 2026","tweet-2022272994207469575","@MoodymaryF46251 @talmejes may sipon ba utak mo? JWAHAHAHAHAHAHAHAHAHAHAHA"
