"created_at","text","id"
"Thu May 22 23:53:50 +0000 2025","Sakit ang pagiging DDS","tweet-1925701671180501347"
"Thu May 22 23:53:42 +0000 2025","udah paling bener dengerin wali aja lah anjir persetan kband gue ingat mati ingat sakit ingatlah saat kau sulit aja + gitarisnya KIAI","tweet-1925701636917186731"
"Thu May 22 23:53:40 +0000 2025","@raaasyyel @haewookfocus sakit jiwa ni orang","tweet-1925701628109156731"
"Thu May 22 23:53:34 +0000 2025","Kalian pernah gak udah siap² mau berangkat tiba-tiba sakit perut","tweet-1925701603652235672"
"Thu May 22 23:53:33 +0000 2025","@PondaXi @Lanautica_OFC @N_IntanJKT48 Miminnya sakit hati kayanya sama Lana 😭","tweet-1925701599600492803"
"Thu May 22 23:53:31 +0000 2025","@falenasarshtat5 Sakit dan sedih","tweet-1925701588439486754"
"Thu May 22 23:53:23 +0000 2025","sakit kepala internal x eksternal 💋","tweet-1925701557657411643"
"Thu May 22 23:53:23 +0000 2025","@berniekurniawan Gua jg lg di posisi ini, bokap sakit stlah gua nikah. Predicted? Nope

Sblm nikah bokap sehat2 aja dan masi ngajar di kampus.

Pusing? MEMANG tapi it is what it is, nama nya juga hidup 🤣","tweet-1925701557435215915"
"Thu May 22 23:53:18 +0000 2025","@flnive_ Sakit banget jar","tweet-1925701536216203648"
"Sat Jun 21 23:57:31 +0000 2025","Haii im bavlck!!!!
Setelah menghilang beberapa karna sakit","tweet-1936574232827498934"
"Sat Jun 21 23:57:25 +0000 2025","Gw kalo sakit biasa memeluk agama aja","tweet-1936574205421908322"
"Sat Jun 21 23:57:12 +0000 2025","masih sakit","tweet-1936574151327650298"
"Sat Jun 21 23:57:06 +0000 2025","makin sakit bgt","tweet-1936574128955461842"
"Sat Jun 21 23:57:04 +0000 2025","@eraldmenises not for long walks. sakit sa tiil","tweet-1936574117874155627"
"Sat Jun 21 23:57:00 +0000 2025","Seorang wanita jual kuih kecil-kecilan, sambil jaga mak ayah sakit. Hari-hari baca Surah Al-Waqiah. Tak pernah putus rezeki, walau tak kaya. Itu barakah.","tweet-1936574101864255510"
"Sat Jun 21 23:56:37 +0000 2025","@UmarHasibuan__ Ikut2 an cikgu yang dulu pura2 sakit sampai hayatnya ngga bisa diperiksa.","tweet-1936574007534645504"
"Sat Jun 21 23:56:25 +0000 2025","moots maaf pagi"" , aku boleh minta tolong tag akunku bantu hijauin akunku sakit😭 makasih yaaa https://t.co/AfzCFSX6yI","tweet-1936573956200550649"
"Sat Jun 21 23:56:24 +0000 2025","@papuamuslim08 Kata dr tifa, ini gejala autoimun, jika menyerang ada stadium IV atau V, maka seluruh organ tubuh akan melemah, gejala ini merupakan jenis gangguan kesehatan berat, harus segera diobati di rumah sakit terbaik di dunia.","tweet-1936573950525596077"
"Sat Jun 21 23:56:21 +0000 2025","perutku sakit bngtt pls","tweet-1936573938152403161"
"Sat Jun 21 23:56:06 +0000 2025","Sa dami daming pwedeng bumalik yung sakit pa","tweet-1936573875338510838"
"Sat Jun 21 23:55:49 +0000 2025","@untitled246 semoga yang sakit disembuhkan","tweet-1936573804115099899"
"Sat Jun 21 23:55:48 +0000 2025","@kompascom Hey kompas bilangin ke pak Jokowi suruh fokus Ama sakit nya dulu.. gak usah pencitraan terus..","tweet-1936573798465286360"
"Sat Jun 21 23:55:36 +0000 2025","'Kerja tertekan sampai sakit'

#BHHiburan Wani Kayrie kurang rehat, jadual seni padat selalu.

https://t.co/IkzODDextr","tweet-1936573749211639957"
"Sat Jun 21 23:55:34 +0000 2025","@OktavianusYahy1 @jokowi Dah banyak sakit nya skrg ngak kau lihat ke rumah nya di solo...??","tweet-1936573743167598601"
"Sat Jun 21 23:55:16 +0000 2025","@cloudppw aku kangen dia ya? iya kali ya? dulu kalo mimpiin dia pasti dia nya lagi sakit, tapi kali ini udah beda cerita kayaknya 😮‍💨 too much ga ya, kalo nanyain kabar?","tweet-1936573665036079350"
"Sat Jun 21 23:54:56 +0000 2025","Mau misa jam 7 pagi, udah bangun jam setengah 6, mandi, dandan, nyiapin tas. Perut melilit parah dari bangun tidur tapi pas mandi aku coba pup gak bisa sama sekali. 

Pas mau berangkat malah tambah sakit dan akhirnya pup dong, di JAM 06.45, dan sampai sekarang BELUM KELAR 😭","tweet-1936573583494730213"
"Sat Jun 21 23:54:45 +0000 2025","ndak mungkin bs lari aku, tete ku lg sakit bgt bgt bgt","tweet-1936573536057119004"
"Sat Jun 21 23:54:43 +0000 2025","umagang kay sakit &lt;/3","tweet-1936573528847094085"
"Sat Jun 21 23:54:30 +0000 2025","@allabout_iyal Nder, aku tau ini serem. Tapi klo nolak hati2 ya, jaman skrg org pada gpnya akal sehat. Klo sakit hati takutnya dia makin nekat. Sehat2 yaw ibu dan keluarga km","tweet-1936573474723745956"
"Tue Apr 22 23:54:32 +0000 2025","@Granny5441 @pusholder @kimbasinger18 aku responnya, makasih sayang😅 jalang di pelacur? Ada bisa jantung sakit nenek 😰 wk","tweet-1914830210236658131"
"Tue Apr 22 23:54:32 +0000 2025","sakit katawan ko pota","tweet-1914830208215265604"
"Tue Apr 22 23:53:57 +0000 2025","@Kayoungly Kaya juga kamu bisa menyediakan rumah sakit","tweet-1914830064207978663"
"Tue Apr 22 23:53:48 +0000 2025","dikira keren kali ya bawa bawa mati, kagak anjing, sakit lu","tweet-1914830024441823269"
"Tue Apr 22 23:53:45 +0000 2025","@tanyarlfes Semoga hiunya gak sakit perut makan penjahat","tweet-1914830013813445062"
"Tue Apr 22 23:53:41 +0000 2025","@Defa4ut @theaseanball Kami tertawa bukan sakit hati🤣","tweet-1914829995580776852"
"Tue Apr 22 23:52:55 +0000 2025","@edoamu Udah sakit paket komplit sih namanya 😁","tweet-1914829801556467750"
"Tue Apr 22 23:52:54 +0000 2025","ih anjing gue sakit hati baca qrt nya... temen temen maafin ya 😭 sumpah bahkan aslinya the whole myday udah beneran ga ada tenaga buat jump in fandom atau idol lain, bukan ga peduli, tapi karena kita bener-bener drained banget ngejar refund mecim... 😭","tweet-1914829798091956683"
"Tue Apr 22 23:52:48 +0000 2025","@manikam_qalbu kalau gini bukan kaki sakit, tongkat tu yg sakit.","tweet-1914829772221489309"
"Tue Apr 22 23:52:44 +0000 2025","@IstDien TERIMA KASIH YA NICHO t____t bingung banget, sakit mulu akunku padahal ngga ngapa-ngapain…","tweet-1914829755591090336"
"Tue Apr 22 23:52:36 +0000 2025","@NenkMonica @unilubis @jokowi Teman2 mbak Uni juga pada stop deh meliput kegiatan dia. Bikin sakit mata aja","tweet-1914829723408220491"
"Tue Apr 22 23:52:35 +0000 2025","cok sakit bgt... gua udah mnum ibuprofen 3bijj masi ttepbsakit..","tweet-1914829717045436450"
"Tue Apr 22 23:52:20 +0000 2025","Dengn membuat post seperti ini, kamu sudah membuat banyak muslimah lain sakit hati dan malah menjauh dari agama. Pikirkan apakah buahnya itu pahala atau dosa jariyah, dan apakah itu bermanfaat untuk dunia dan akhiratmu? Semoga Allah memberi hidayah buatmu dan teman-teman lainnya.","tweet-1914829656886534424"
"Tue Apr 22 23:52:19 +0000 2025","Kayaknya sakit bener tuh jatuhnya 😅","tweet-1914829652045988301"
"Tue Apr 22 23:52:02 +0000 2025","Baru tahu sakit rupanya cucuk epidural. 😢","tweet-1914829578981482861"
"Tue Apr 22 23:51:57 +0000 2025","https://t.co/AUMfIKgp5p","tweet-1914829559826145584"
"Tue Apr 22 23:51:53 +0000 2025","aku sakit karena kesal sama SM aneh GK si ? 
muak bngt serius.","tweet-1914829544139416044"
"Tue Apr 22 23:51:48 +0000 2025","Sakit coy, dr kemarin marin pdhl mau libur jualan.
Tapi gue tahan-tahanin.

Eh puncaknya tadi malam KO nya 😭👍🏻","tweet-1914829521339191709"
"Tue Apr 22 23:51:37 +0000 2025","Hirap na hirap na ko sa sipon ko pls lang!!! Tuyo pa sya so di ako makahinga lalo pag nakahiga, ano mulat 24/7?!? 😔","tweet-1914829477387100548"
"Tue Apr 22 23:51:21 +0000 2025","@hyeyozn Kesayangan kakak juga gak? 🥺 #SIKAP bener kakak tetep prioritas nomor satu dia yaa customer mah nanti aja. Iya kan kayaknya aku gak bisa kalau gak bawa lippie deh.. takut keliatan kayak orang sakit 😭🙌🏻 Kak ini relay maze kak.. aku mending tidur aja ya kaaak 😭😭😭","tweet-1914829408587931778"
"Thu May 22 23:53:17 +0000 2025","@Bibuverse Aku pake Q-life, suka ada di indoapril. Aku pasang 2 depan belakang. Tp jangan langsung ke kulit. Lumayan ngeredain sakit.","tweet-1925701531912855791"
"Thu May 22 23:53:14 +0000 2025","@ttbozu8 itu yang suntikan ketiga kah bang, lupa. kayaknya yang ketiga itu aku engga deh, pas sakit jadinya gak berani.. untung saja","tweet-1925701520386851090"
"Thu May 22 23:53:12 +0000 2025","@FadlyRezza888 Sakit banget sih ini","tweet-1925701512186978321"
"Thu May 22 23:53:12 +0000 2025","sakit ha","tweet-1925701510949745048"
"Thu May 22 23:52:56 +0000 2025","Anak² kerja keras banget apalagi setiap mau cb, sampe sakit 🥺 cepet sehat ya no 🤧🤧 sehat² semuaaa","tweet-1925701442674790581"
"Thu May 22 23:52:34 +0000 2025","@tanyakanrl Jujur ikut sakit hati pas baca kata2 ayahmu sepasrah itu gara2 kelakuanmu sbg anak ga bijak.","tweet-1925701350010097946"
"Thu May 22 23:52:11 +0000 2025","@nosan1tysane @budakgiunk_ @izaenn_ Tapi mayoritas penghuni surga juga cewe. Kalo ttg agama ga bs dr satu sisi. Spt meninggal jumat bagus, Nabi ga meninggal jumat. Sakaratul maut spt tidur, tidak sakit berarti baik, Nabi sakaratul mautnya sakit. Apa kmd nabi ga baik? Lebih ke utamakan tindakan masing2 aja sih.","tweet-1925701252601544974"
"Thu May 22 23:52:08 +0000 2025","Susah dengan barisan sakit hati, dikasih bukti A minta B, dikasih B, minta C… terus weh gth….","tweet-1925701241532719128"
"Thu May 22 23:52:02 +0000 2025","pagi kak Open joki tugas,realtime ujian atau quiz bisa dm / wa ke @NUGASAMBIS
 
- Akuntansi 
- Manajemen Keuangan
- MSDM
- keuangan bisnis
- Manajemen Operasional 
- Export Import
- Finance 
- Audit 
- Pajak, Brevet
- Manajemen S2
- manajemen rumah sakit","tweet-1925701217751015503"
"Thu May 22 23:51:54 +0000 2025","Arab Saudi sediakan unit dialisis di Madinah bagi jemaah sakit buah pinggang

#BHdunia Ia bertujuan menyokong keperluan kesihatan jemaah sambil mengambil kira pergerakan dan jadual ibadah mereka sepanjang musim haji

https://t.co/tcP2EZewlR","tweet-1925701183869436337"
"Thu May 22 23:51:33 +0000 2025","@setnugsempra Astaghfirullah sakit jiwa bener ini","tweet-1925701094631448860"
"Thu May 22 23:51:31 +0000 2025","Make sense ke bangun tido sakit kepala ya allah korang 😭😭","tweet-1925701084938485805"
"Thu May 22 23:51:17 +0000 2025","@flipboogers Kak midnight sky emang se sakit itu 😭","tweet-1925701026918580565"
"Thu May 22 23:50:54 +0000 2025","@kiinarchives sejujurnya sakit bgt hati gw anj kin kek udh pernah pisah dan diterpa badai pas mau balikan harus ada badai lagi mana gede bgt lagi dan mohan setelah smua perjuangan raisa ke lu awas lu ya kalo perjuangan lu ga setimpal anjir sinetron horror sepanjang masa cuk ini 😭😭","tweet-1925700931099713859"
